,state,party,candidate,votes,overall_votes,vote_pct,Unnamed: 0_x,Unnamed: 0.1_x,count,days_to_election_num_x,Unnamed: 0_y,Unnamed: 0.1_y,overall_count,days_to_election_num_y,ad_pct
58,OH,Republican,Ted Cruz,267592,2011357,0.13304052935406296,155353,185845,4,96,209765889,287217914,2139,66500,0.0018700327255726976
59,PA,Democrat,Bernie Sanders,719955,1638644,0.43936022711461425,49736044,65363014,943,8420,149685035,206657163,1989,37294,0.47410759175465056
60,PA,Democrat,Hillary Clinton,918689,1638644,0.5606397728853857,81879014,117230132,810,6222,149685035,206657163,1989,37294,0.4072398190045249
61,PA,Republican,Donald Trump,892702,1537696,0.5805451792812103,34907733,53458633,312,825,66136052,98952833,638,14121,0.4890282131661442
62,PA,Republican,John Kasich,304793,1537696,0.19821408132686824,564675,795847,8,412,66136052,98952833,638,14121,0.012539184952978056
63,PA,Republican,Ted Cruz,340201,1537696,0.22124073939192143,108832,130705,4,369,66136052,98952833,638,14121,0.006269592476489028
64,SC,Democrat,Bernie Sanders,95977,367491,0.26116830072028974,84965518,109508870,1385,11243,279098907,370240029,3404,26777,0.40687426556991774
65,SC,Democrat,Hillary Clinton,271514,367491,0.7388316992797103,193012406,259322856,2001,14640,279098907,370240029,3404,26777,0.5878378378378378
66,SC,Republican,Donald Trump,239851,737917,0.3250379107677422,41565909,53858130,510,7432,753184365,956312305,11389,244763,0.04478005092633243
67,SC,Republican,Jeb Bush,57863,737917,0.07841396796658703,119377311,151762029,1558,34885,753184365,956312305,11389,244763,0.13679866537887436
68,SC,Republican,John Kasich,56206,737917,0.07616845797020533,66341964,86336326,724,6710,753184365,956312305,11389,244763,0.06357011151110721
69,SC,Republican,Marco Rubio,165881,737917,0.22479628467700297,201855716,252874776,3627,86243,753184365,956312305,11389,244763,0.3184651857055053
70,SC,Republican,Ted Cruz,164790,737917,0.22331779861420728,130308605,165929638,1740,33611,753184365,956312305,11389,244763,0.15277899727807534
71,VA,Democrat,Bernie Sanders,275507,778865,0.3537288233519288,366570,442319,7,134,37479737,50128844,414,8565,0.016908212560386472
72,VA,Democrat,Hillary Clinton,503358,778865,0.6462711766480712,33199109,44618116,350,5192,37479737,50128844,414,8565,0.8454106280193237
73,VA,Republican,Donald Trump,355960,1012807,0.3514588662993048,7719584,10176155,96,2081,39986134,52503097,438,11232,0.2191780821917808
74,VA,Republican,John Kasich,96519,1012807,0.09529851195736207,430855,618285,6,463,39986134,52503097,438,11232,0.0136986301369863
75,VA,Republican,Marco Rubio,327042,1012807,0.32290653599353086,5178078,6894569,59,2778,39986134,52503097,438,11232,0.13470319634703196
76,VA,Republican,Ted Cruz,173193,1012807,0.1710029650269005,288882,396084,5,235,39986134,52503097,438,11232,0.01141552511415525
