state,party,candidate,votes,overall_votes,vote_pct
RI,Republican,Ted Cruz,6393,60381,0.10587767675262086
AL,Republican,Ben Carson,87517,837632,0.10448144292481662
MT,Republican,Ted Cruz,14476,139154,0.10402863015076821
WA,Republican,John Kasich,52129,510851,0.10204345298335522
MO,Republican,John Kasich,92533,911999,0.10146173405891892
VT,Republican,Ted Cruz,5929,58762,0.10089853987270685
MA,Republican,Ted Cruz,60473,614668,0.09838319222734875
MI,Republican,Marco Rubio,123673,1259094,0.0982238021942762
WV,Republican,Ted Cruz,18208,188138,0.09678002317447831
CA,Republican,Ted Cruz,144125,1495574,0.09636768224106597
VA,Republican,John Kasich,96519,1012807,0.09529851195736207
IA,Republican,Ben Carson,17393,186724,0.0931481759173968
MS,Republican,John Kasich,35817,395405,0.09058307305168119
IL,Republican,Marco Rubio,123066,1384703,0.0888753761636972
NM,Republican,John Kasich,7870,95225,0.08264636387503281
NC,Republican,Marco Rubio,87858,1109048,0.07921929438581558
SC,Republican,Jeb Bush,57863,737917,0.07841396796658703
TN,Republican,Ben Carson,64846,834939,0.0776655540105325
IN,Republican,John Kasich,83913,1080653,0.07765027256667958
WY,Republican,Donald Trump,70,903,0.07751937984496124
ID,Republican,John Kasich,16517,215284,0.07672191152152505
MT,Republican,John Kasich,10622,139154,0.07633269614958967
SC,Republican,John Kasich,56206,737917,0.07616845797020533
NH,Republican,Chris Christie,21069,279130,0.07548095869308208
WV,Republican,John Kasich,13685,188138,0.072739159553094
SC,Republican,Ben Carson,53326,737917,0.07226558000425522
FL,Republican,John Kasich,159412,2276926,0.07001193714683744
LA,Republican,John Kasich,19355,291926,0.06630104889595309
OK,Republican,Ben Carson,28572,452731,0.06311032379050695
GA,Republican,Ben Carson,80503,1275601,0.0631098595877551
MO,Republican,Marco Rubio,57006,911999,0.06250664748535908
NJ,Republican,Ted Cruz,27521,443724,0.06202278894087315
VA,Republican,Ben Carson,60093,1012807,0.0593331207229018
AR,Republican,Ben Carson,23173,396523,0.05844049399404322
GA,Republican,John Kasich,72303,1275601,0.05668151718288086
TN,Republican,John Kasich,45243,834939,0.054187192118226604
MS,Republican,Marco Rubio,20768,395405,0.05252336212238085
NV,Republican,Ben Carson,3619,74878,0.04833195331071877
IA,Republican,Rand Paul,8479,186724,0.04540926715365995
AL,Republican,John Kasich,37970,837632,0.045330168856968216
TX,Republican,John Kasich,120257,2737248,0.04393354201007727
VT,Republican,Ben Carson,2544,58762,0.043293284775875567
TX,Republican,Ben Carson,117780,2737248,0.043028618524883384
NH,Republican,Carly Fiorina,11706,279130,0.041937448500698596
AK,Republican,John Kasich,892,21930,0.04067487460100319
AR,Republican,John Kasich,15098,396523,0.038075975416306244
OK,Republican,John Kasich,16515,452731,0.03647861533670104
NV,Republican,John Kasich,2709,74878,0.03617885093084751
OH,Republican,Marco Rubio,59418,2011357,0.02954125001180795
IA,Republican,Jeb Bush,5238,186724,0.028052098284098454
MA,Republican,Ben Carson,16277,614668,0.02648096208034256
NH,Republican,Ben Carson,6509,279130,0.023318883674273636
IA,Republican,Carly Fiorina,3485,186724,0.018663910370386238
IA,Republican,John Kasich,3472,186724,0.018594288896981642
IA,Republican,Mike Huckabee,3345,186724,0.01791414065679827
IA,Republican,Chris Christie,3284,186724,0.01758745528159208
IA,Republican,Rick Santorum,1782,186724,0.009543497354384011
MA,Democrat, No Preference,8152,1198652,0.006800973093107924
IA,Democrat,Martin O'Malley,752,139980,0.005372196028004
IA,Democrat, Uncommitted,43,139980,0.0003071867409629947
WY,Republican,John Kasich,0,903,0.0
