state,candidate,votes,vote_pct,Unnamed: 0,overall_votes,Unnamed: 0_x,Unnamed: 0.1_x,count,days_to_election_num_x,Unnamed: 0_y,Unnamed: 0.1_y,overall_count,days_to_election_num_y,ad_pct
OH,Marco Rubio,59418,0.02954125001180795,57,2011357,1357736,1745223,20,379,209765889,287217914,2139,66500,0.009350163627863487
OH,Ted Cruz,267592,0.13304052935406294,58,2011357,155353,185845,4,96,209765889,287217914,2139,66500,0.0018700327255726976
PA,Bernie Sanders,719955,0.4393602271146143,59,1638644,49736044,65363014,943,8420,149685035,206657163,1989,37294,0.4741075917546506
PA,Donald Trump,892702,0.5805451792812103,61,1537696,34907733,53458633,312,825,66136052,98952833,638,14121,0.4890282131661442
PA,Hillary Clinton,918689,0.5606397728853857,60,1638644,81879014,117230132,810,6222,149685035,206657163,1989,37294,0.4072398190045249
PA,John Kasich,304793,0.19821408132686824,62,1537696,564675,795847,8,412,66136052,98952833,638,14121,0.012539184952978056
PA,Ted Cruz,340201,0.22124073939192146,63,1537696,108832,130705,4,369,66136052,98952833,638,14121,0.006269592476489028
SC,Bernie Sanders,95977,0.2611683007202897,64,367491,84965518,109508870,1385,11243,279098907,370240029,3404,26777,0.40687426556991774
SC,Donald Trump,239851,0.3250379107677422,66,737917,41565909,53858130,510,7432,753184365,956312305,11389,244763,0.04478005092633243
SC,Hillary Clinton,271514,0.7388316992797103,65,367491,193012406,259322856,2001,14640,279098907,370240029,3404,26777,0.5878378378378378
SC,Jeb Bush,57863,0.07841396796658702,67,737917,119377311,151762029,1558,34885,753184365,956312305,11389,244763,0.13679866537887436
SC,John Kasich,56206,0.07616845797020533,68,737917,66341964,86336326,724,6710,753184365,956312305,11389,244763,0.06357011151110721
SC,Marco Rubio,165881,0.22479628467700294,69,737917,201855716,252874776,3627,86243,753184365,956312305,11389,244763,0.3184651857055053
SC,Ted Cruz,164790,0.22331779861420728,70,737917,130308605,165929638,1740,33611,753184365,956312305,11389,244763,0.15277899727807534
VA,Bernie Sanders,275507,0.3537288233519288,71,778865,366570,442319,7,134,37479737,50128844,414,8565,0.016908212560386472
VA,Donald Trump,355960,0.3514588662993048,73,1012807,7719584,10176155,96,2081,39986134,52503097,438,11232,0.2191780821917808
VA,Hillary Clinton,503358,0.6462711766480712,72,778865,33199109,44618116,350,5192,37479737,50128844,414,8565,0.8454106280193237
VA,John Kasich,96519,0.09529851195736208,74,1012807,430855,618285,6,463,39986134,52503097,438,11232,0.0136986301369863
VA,Marco Rubio,327042,0.3229065359935309,75,1012807,5178078,6894569,59,2778,39986134,52503097,438,11232,0.13470319634703196
VA,Ted Cruz,173193,0.1710029650269005,76,1012807,288882,396084,5,235,39986134,52503097,438,11232,0.01141552511415525
