state,candidate,count
PA,"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",50
PA,"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",47
PA,"Donald Trump, Hillary Clinton",1
PA,"Donald Trump, Jeb Bush",1
PA,"Donald Trump, Ted Cruz",7
PA,"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",2
PA,"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",1
PA,Hillary Clinton,812
PA,"Hillary Clinton, Donald Trump",50
PA,Jeb Bush,3
PA,"Jeb Bush, Donald Trump, Hillary Clinton",2
PA,"Jeb Bush, Marco Rubio, Chris Christie",1
PA,John Kasich,8
PA,"John Kasich, Chris Christie, Donald Trump, Marco Rubio, Hillary Clinton",1
PA,Marco Rubio,97
PA,"Marco Rubio, Hillary Clinton, Jeb Bush",2
PA,"Marco Rubio, Jeb Bush",1
PA,"Martin O'Malley, Bernie Sanders, Jeb Bush, Hillary Clinton, Donald Trump, Carly Fiorina",22
PA,Ted Cruz,4
PA,"Ted Cruz, Donald Trump",2
PA,"Ted Cruz, Donald Trump, Hillary Clinton",1
PA,"Ted Cruz, Donald Trump, Marco Rubio",3
PA,"Ted Cruz, Hillary Clinton",172
PA,"Ted Cruz, Marco Rubio",2
SC,Bernie Sanders,1385
SC,Carly Fiorina,1
SC,Donald Trump,517
SC,"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",4
SC,"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",3
SC,"Donald Trump, Hillary Clinton",104
SC,"Donald Trump, Jeb Bush",44
SC,"Donald Trump, Ted Cruz",440
SC,"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",4
SC,"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",62
SC,Hillary Clinton,2004
SC,Jeb Bush,1558
SC,"Jeb Bush, Donald Trump, Hillary Clinton",2
SC,"Jeb Bush, Donald Trump, Marco Rubio",66
